22.1.1.6. Élveszületések és teljes termékenységi arányszám;;;
Év;Élveszületés összesen;Élveszületés ezer lakosra;Teljes termékenységi arányszám
1900;268 019;39,7;5,32
1910;265 457;35,1;4,86
1920;249 458;31,4;3,80
1930;219 784;25,4;2,84
1941;177 047;18,9;2,48
1949;190 398;20,6;2,54
1950;195 567;20,9;2,62
1951;190 645;20,2;2,54
1952;185 820;19,6;2,48
1953;206 926;21,6;2,75
1954;223 347;23,0;2,97
1955;210 430;21,4;2,81
1956;192 810;19,5;2,60
1957;167 202;17,0;2,29
1958;158 428;16,0;2,16
1959;151 194;15,2;2,09
1960;146 461;14,7;2,02
1961;140 365;14,0;1,94
1962;130 053;12,9;1,79
1963;132 335;13,1;1,82
1964;132 141;13,1;1,81
1965;133 009;13,1;1,82
1966;138 489;13,6;1,89
1967;148 886;14,6;2,01
1968;154 419;15,1;2,06
1969;154 318;15,0;2,03
1970;151 819;14,7;1,98
1971;150 640;14,5;1,93
1972;153 265;14,7;1,92
1973;156 224;15,0;1,93
1974;186 288;17,8;2,27
1975;194 240;18,4;2,34
1976;185 405;17,5;2,23
1977;177 574;16,7;2,15
1978;168 160;15,8;2,06
1979;160 364;15,0;2,00
1980;148 673;13,9;1,91
1981;142 890;13,4;1,87
1982;133 559;12,5;1,79
1983;127 258;11,9;1,74
1984;125 359;11,8;1,75
1985;130 200;12,3;1,85
1986;128 204;12,2;1,84
1987;125 840;12,0;1,82
1988;124 296;11,9;1,81
1989;123 304;11,9;1,80
1990;125 679;12,1;1,86
1991;127 207;12,3;1,87
1992;121 724;11,7;1,77
1993;117 033;11,3;1,68
1994;115 598;11,2;1,64
1995;112 054;10,8;1,57
1996;105 272;10,2;1,45
1997;100 350;9,8;1,37
1998;97 301;9,5;1,32
1999;94 645;9,2;1,28
2000;97 597;9,6;1,32
2001;97 047;9,5;1,31
2002;96 804;9,5;1,30
2003;94 647;9,3;1,27
2004;95 137;9,4;1,27
2005;97 496;9,7;1,30
2006;99 871;9,9;1,34
2007;97 613;9,7;1,31
2008;99 149;9,9;1,35
2009;96 442;9,6;1,32
2010;90 335;9,0;1,25
2011;88 049;8,8;1,23
2012;90 269;9,1;1,34
2013;88 689;9,0;1,34
2014;91 510;9,3;1,42
2015;91 690;9,4;1,45
2016;93 063;9,5;1,51
2017;91 577;9,4;1,51
2018;89 807;9,3;1,50
2019;89 193;9,2;1,51
2020;92 338;9,5;1,59
2021;93 039;9,7;1,61
2022;88 491;9,2;1,55
2023;85 225;8,9;1,51
2024;77 511;8,1;1,39
2025;72 000;7,6;1,31
